APC,HCPCS Code,Description,Payment Rate
1442,Q9969,Non-heu tc-99m add-on/dose,$10.00 
1443,J1744,Icatibant injection,$170.85 
1446,Q9968,Visualization adjunct,$7.95 
1458,J2760,Phentolaine mesylate inj,$446.80 
1466,J9371,"Inj, vincristine sul lip 1mg","$3,420.78 "
1467,J7200,Factor ix recombinan rixubis,$1.55 
1468,J0401,Inj aripiprazole ext rel 1mg,$6.81 
1469,J1442,Inj filgrastim excl biosimil,$0.99 
1471,J9306,"Injection, pertuzumab, 1 mg",$15.43 
1472,Q3027,Inj beta interferon im 1 mcg,$53.69 
1474,J0717,Certolizumab pegol inj 1mg,$4.82 
1475,J1602,Golimumab for iv use 1mg,$12.34 
1476,J9301,Obinutuzumab inj,$70.34 
1478,J7178,Inj human fibrinogen con nos,$1.38 
1480,J1322,"Elosulfase alfa, injection",$280.91 
1482,J0882,"Darbepoetin alfa, esrd use",$2.93 
1485,Q0139,"Ferumoxytol, esrd use",$0.36 
1486,J7201,Factor ix alprolix recomb,$3.47 
1488,J9308,"Injection, ramucirumab",$70.24 
1489,J3380,"Injection, vedolizumab",$22.06 
1490,J9271,Inj pembrolizumab,$55.73 
1503,M0220 ,Tixagev and cilgav inj,$150.50 
1504,M0221,Tixagev and cilgav inj hm,$250.50 
1505,0693T; M0222,Compre ful bdy 3d mtn alys; Bebtelovimab injection,$350.50 
1506,M0240; M0243; M0245; M0247; M0249; M0250,Casiri and imdev repeat; Casirivi and imdevi inj; Bamlan and etesev infusion ; Sotrovimab infusion; Adm tocilizu covid-19 1st; Adm tocilizu covid-19 2nd,$450.50 
1507,M0223,Bebtelovimab injection home,$550.50 
1508,0721T; 0722T,Quan ct tiss charac w/o ct; Quan ct tiss charac w/ct,$650.50 
1509,M0241; M0244; M0246; M0248,"Casiri and imdev repeat hm; Casirivi and imdevi inj hm; Bamlan and etesev infus home; Sotrovimab inf, home admin",$750.50 
1511,0625T; 0648T; 0649T; 0697T; 0698T; 0723T; 0724T,Auto quan c plaq cptr alys; Quan mr tis wo mri 1orgn; Quan mr tiss w/mri 1orgn; Quan mr tis wo mri mlt orgn; Quan mr tiss w/mri mlt orgn; Qmrcp w/o dx mri sm anat ses; Qmrcp w/dx mri same anatomy,$950.50 
1513,G2082,Visit esketamine 56m or less,"$1,150.50 "
1514,0662T,Scalp cool 1st meas&calbrj,"$1,250.50 "
1520,78432; G2083,"Myocrd img pet 2rtracer; Visit esketamine, > 56m","$1,850.50 "
1521,78433; C9794,Myocrd img pet 2rtracer ct; Complex simulation w/pet-ct,"$1,950.50 "
1522,78431,Myocrd img pet rst&strs ct,"$2,250.50 "
1525,C9795,Sbrt w/positron emission del,"$3,750.50 "
1534,C9780,Insert cv cath inf & sup app,"$8,250.50 "
1537,C9792,Blind/nonblind trans atrial,"$9,750.50 "
1551,C9791,Mri hyperpolarized xenon129 ,"$1,250.50 "
1559,C9789,Instill pharm renal pelvis,"$2,250.50 "
1562,C9751,"Microwave bronch, 3d, ebus","$3,750.50 "
1563,0810T,Subrta njx rx agt w/vtrc,"$4,250.50 "
1575,C9790,Kidney histotripsy w/image,"$12,500.50 "
1576,0686T,Histotripsy mal hepatcel tis,"$17,500.50 "
1578,0620T,Evasc ven artlz tibl/prnl vn,"$27,500.50 "
1580,0266T; 33276,Implt/rpl crtd sns dev total; Insj phrnc nrv stim sys,"$45,000.50 "
1590,C9758; C9782,Blind interatrial shunt ide; Blind myocar trpl bon marrow,"$17,500.50 "
1592,C9760,Non-blind interatrial shunt,"$27,500.50 "
1608,J1438,Etanercept injection,$790.78 
1609,J2792,"Rho(d) immune globulin h, sd",$32.96 
1613,J9355,Inj trastuzumab excl biosimi,$80.47 
1630,90371,Hep b ig im,$137.89 
1643,A9543,"Y90 ibritumomab, rx","$65,476.58 "
1656,J7205,Factor viii fc fusion recomb,$2.19 
1658,J9032,"Injection, belinostat, 10mg",$48.88 
1660,J2407,"Injection, oritavancin",$27.60 
1662,J3090,Inj tedizolid phosphate,$1.78 
1669,J1364,Erythro lactobionate /500 mg,$80.78 
1670,J1670,Tetanus immune globulin inj,$578.61 
1683,J0480,Basiliximab,"$4,476.27 "
1685,J0881,"Darbepoetin alfa, non-esrd",$2.93 
1686,J0885,"Epoetin alfa, non-esrd",$8.89 
1687,J1162,Digoxin immune fab (ovine),"$4,777.44 "
1688,J1430,Ethanolamine oleate 100 mg,$473.93 
1689,J1451,"Fomepizole, 15 mg",$6.06 
1690,J1640,"Hemin, 1 mg",$31.35 
1694,J2278,Ziconotide injection,$9.04 
1696,J2425,Palifermin injection,$26.51 
1700,J2850,Inj secretin synthetic human,$41.74 
1701,J3285,Treprostinil injection,$56.38 
1704,J7187,"Humate-p, inj",$1.35 
1705,J7189,Factor viia recomb novoseven,$2.43 
1710,J9027,Clofarabine injection,$21.39 
1711,J9225,Vantas implant,"$5,166.29 "
1712,J9264,Paclitaxel protein bound,$14.29 
1745,A9606,Radium ra223 dichloride ther,$161.16 
1746,J7181,Factor xiii recomb a-subunit,$17.13 
1747,J7327,Monovisc inj per dose,$714.37 
1748,J1447,Inj tbo filgrastim 1 microg,$0.44 
1761,J8670,"Rolapitant, oral, 1mg",$1.59 
1809,J0202,"Injection, alemtuzumab","$2,324.34 "
1822,Q5101,"Injection, zarxio",$0.32 
1823,J0875,"Injection, dalbavancin",$15.29 
1824,J0712,Ceftaroline fosamil inj,$3.84 
1825,J0714,Ceftazidime and avibactam,$95.45 
1826,J1575,Hyqvia 100mg immuneglobulin,$17.09 
1827,J7188,Factor viii recomb obizur,$3.22 
1829,J0561,Penicillin g benzathine inj,$21.73 
1832,J1212,Dimethyl sulfoxide 50% 50 ml,$680.82 
1836,J2510,Penicillin g procaine inj,$40.94 
1844,J7207,Factor viii pegylated recomb,$1.98 
1846,J7209,Factor viii nuwiq recomb 1iu,$1.28 
1847,Q5103,"Injection, inflectra",$14.29 
1848,C9250,Artiss fibrin sealant,$132.73 
1849,J1455,Foscarnet sodium injection,$59.37 
1850,J1460,Gamma globulin 1 cc inj,$50.73 
1851,J1560,Gamma globulin > 10 cc inj,$507.26 
1852,J1826,Interferon beta-1a inj,"$1,910.69 "
1853,J2265,Minocycline hydrochloride,$2.47 
1856,J7182,Factor viii recomb novoeight,$1.34 
1857,J7175,"Inj, factor x, (human), 1iu",$9.11 
1859,J0883,Argatroban nonesrd use 1mg,$1.22 
1861,J9034,"Inj., bendeka 1 mg",$14.76 
1862,J7328,Gelsyn-3 injection 0.1 mg,$0.49 
2033,C1761,"Cath, trans intra litho/coro",
2034,C1831,Personalized interbody cage,
2035,C1832,Auto cell process sys,
2036,C1833,Cardiac monitor sys,
2038,C1826,"Gen, neuro, clo loop, rechg",
2039,C1827,"Gen, neuro, imp led, ex cntr",
2040,C1747,"Endo, single, urinary tract",
2041,C1600,"Cath, bladed, vasc prep",
2042,C1601,"Endo, single, pulmonary",
2043,C1602,Orth/matrx/bn fill drug-elut,
2044,C1603,"Ret dev, laser, ivc filter",
2045,C1604,"Grft, trnsmurl/trnsvens byps",
2616,C2616,"Brachytx, non-str,yttrium-90","$17,177.01 "
2632,A9527,Iodine i-125 sodium iodide,$60.15 
2634,C2634,"Brachytx, non-str, ha, i-125",$150.81 
2635,C2635,"Brachytx, non-str, ha, p-103",$59.13 
2636,C2636,"Brachy linear, non-str,p-103",$54.05 
2638,C2638,"Brachytx, stranded, i-125",$41.78 
2639,C2639,"Brachytx, non-stranded,i-125",$34.95 
2640,C2640,"Brachytx, stranded, p-103",$76.19 
2641,C2641,"Brachytx, non-stranded,p-103",$73.86 
2642,C2642,"Brachytx, stranded, c-131",$97.51 
2643,C2643,"Brachytx, non-stranded,c-131",$80.33 
2645,C1716,"Brachytx, non-str, gold-198",$270.91 
2646,C1717,"Brachytx, non-str,hdr ir-192",$346.98 
2647,C1719,"Brachytx, ns, non-hdrir-192",$348.42 
2648,C2645,"Brachytx planar, p-103",$4.69 
2698,C2698,"Brachytx, stranded, nos",$41.78 
2699,C2699,"Brachytx, non-stranded, nos",$34.95 
2731,J1566,"Immune globulin, powder",$78.50 
2770,J2770,Quinupristin/dalfopristin,$493.97 
5012,0604T; 0811T; 92002; 92004; 92012; 92014; 95250; 98975; 99453; 99460; 99463; 99495; 99496; D0120; D0140; D0150; D0160; D0170; D0171; D0180; D0191; D1110; D4921; G0245; G0246; G0248; G0249; G0402; G0463,"Rem oct rta dev setup&educaj; Rem mlt day uroflow setup; Intrm oph exam new patient; Compre oph exam new pt 1/>; Intrm oph exam est patient; Compre oph exam est pt 1/>; Cont gluc mntr phys/qhp eqp; Rem ther mntr 1st setup&edu; Rem mntr physiol param setup; Init nb em per day hosp; Same day nb discharge; Transj care mgmt mod f2f 14d; Transj care mgmt high f2f 7d; Periodic oral evaluation; Limit oral eval problm focus; Comprehensve oral evaluation; Extensv oral eval prob focus; Re-eval,est pt,problem focus; Re-eval post-op visit; Comp periodontal evaluation; Assessment of a patient; Dental prophylaxis adult; Gingival irrigation per quad; Initial foot exam pt lops; Followup eval of foot pt lop; Demonstrate use home inr mon; Provide inr test mater/equip; Initial preventive exam; Hospital outpt clinic visit",$125.95 
5021,99281,Emr dpt vst mayx req phy/qhp,$84.59 
5022,99282,Emergency dept visit sf mdm,$155.83 
5023,99283,Emergency dept visit low mdm,$271.85 
5024,90945; 99284; G0175,"Dialysis one evaluation; Emergency dept visit mod mdm; Opps service,sched team conf",$422.00 
5025,99285; G0379,Emergency dept visit hi mdm; Direct refer hospital observ,$611.99 
5031,G0380,Lev 1 hosp type b ed visit,$71.47 
5032,G0381,Lev 2 hosp type b ed visit,$116.05 
5033,G0382,Lev 3 hosp type b ed visit,$190.58 
5034,G0383,Lev 4 hosp type b ed visit,$280.66 
5035,G0384,Lev 5 hosp type b ed visit,$363.17 
5041,99291,Critical care first hour,$845.48 
5045,G0390,Trauma respons w/hosp criti,"$1,304.47 "
5051,0447T; 0512T; 10040; 10060; 11055; 11056; 11057; 11102; 11200; 11301; 11302; 11305; 11306; 11307; 11310; 11311; 11730; 11900; 11901; 11950; 12001; 12002; 12004; 12007; 12011; 12013; 12014; 12015; 12018; 15786; 16000; 16020; 16025; 17000; 17110; 17111; 17250; 17260; 17261; 17262; 17263; 17270; 17271; 17272; 17280; 17360; 17999; 26010; 46916; 54056; 69220; 96567; 96573; 96574; 96920; 96921; 96999; 97597; 97602; 97605; 97610; G0247,Rmvl impltbl glucose sensor; Esw integ wnd hlg 1st wnd; Acne surgery; I&d abscess simple/single; Paring/cutg b9 hyprker les 1; Parng/cutg b9 hyprkr les 2-4; Parng/cutg b9 hyprkr les >4; Tangntl bx skin single les; Rmvl skin tags up to&inc 15; Shave skin lesion 0.6-1.0 cm; Shave skin lesion 1.1-2.0 cm; Shave skin lesion 0.5 cm/<; Shave skin lesion 0.6-1.0 cm; Shave skin lesion 1.1-2.0 cm; Shave skin lesion 0.5 cm/<; Shave skin lesion 0.6-1.0 cm; Removal of nail plate; Inject skin lesions </w 7; Inject skin lesions >7; Tx contour defects 1 cc/<; Rpr s/n/ax/gen/trnk 2.5cm/<; Rpr s/n/ax/gen/trnk2.6-7.5cm; Rpr s/n/ax/gen/trk7.6-12.5cm; Rpr s/n/ax/gen/trnk >30.0 cm; Rpr f/e/e/n/l/m 2.5 cm/<; Rpr f/e/e/n/l/m 2.6-5.0 cm; Rpr f/e/e/n/l/m 5.1-7.5 cm; Rpr f/e/e/n/l/m 7.6-12.5 cm; Rpr f/e/e/n/l/m >30.0 cm; Abrasion lesion single; Initial treatment of burn(s); Dress/debrid p-thick burn s; Dress/debrid p-thick burn m; Destruct premalg lesion; Destruct b9 lesion 1-14; Destruct lesion 15 or more; Chem caut of granltj tissue; Dstrj mal les t/a/l 0.5 cm/<; Dstrj mal les t/a/l .6-1.0cm; Dstrj mal les t/a/l 1.1-2.0; Dstrj mal les t/a/l 2.1-3.0; Dstr mal les s/n/h/f/g .5 /<; Dstr mal les s/n/h/f/g 0.6-1; Dstr mal les s/n/h/f/g 1.1-2; Dstr mal ls f/e/e/n/l/m .5/<; Skin peel therapy; Unlistd px skn muc memb subq; Drainage of finger abscess; Cryosurgery anal lesion(s); Cryosurgery penis lesion(s); Clean out mastoid cavity; Pdt dstr prmlg les skn; Pdt dstr prmlg les phys/qhp; Dbrdmt prmlg les w/pdt; Excimer lsr psriasis<250sqcm; Excimer lsr psriasis 250-500; Unlisted spec derm svc/px; Dbrdmt opn wnd 1st 20 cm/<; Wound(s) care non-selective; Neg prs wnd ther dme<=50sqcm; Low frequency non-thermal us; Routine footcare pt w lops,$190.75 
5052,10021; 10061; 10120; 10160; 11042; 11104; 11300; 11303; 11308; 11312; 11313; 11401; 11602; 11750; 11765; 12005; 12006; 12016; 12017; 12021; 12031; 12032; 12034; 12035; 12041; 12042; 12051; 12052; 12053; 12054; 12055; 12056; 12057; 13131; 15775; 15776; 15783; 15788; 15793; 16030; 16035; 17004; 17106; 17264; 17266; 17273; 17274; 17276; 17281; 17282; 17283; 36468; 36470; 36471; 46900; 54050; 96913; 96922; 97606; 97607; 97608,Fna bx w/o img gdn 1st les; I&d abscess comp/multiple; Inc&rmvl fb subq tiss smpl; Pnxr aspir absc hmtma bulla; Dbrdmt subq tis 1st 20sqcm/<; Punch bx skin single lesion; Shave skin lesion 0.5 cm/<; Shave skin lesion >2.0 cm; Shave skin lesion >2.0 cm; Shave skin lesion 1.1-2.0 cm; Shave skin lesion >2.0 cm; Exc tr-ext b9+marg 0.6-1 cm; Exc tr-ext mal+marg 1.1-2 cm; Removal of nail bed; Excision of nail fold toe; Rpr s/n/a/gen/trk12.6-20.0cm; Rpr s/n/a/gen/trk20.1-30.0cm; Rpr fe/e/en/l/m 12.6-20.0 cm; Rpr fe/e/en/l/m 20.1-30.0 cm; Tx supfc wnd dehsn w/packing; Intmd rpr s/a/t/ext 2.5 cm/<; Intmd rpr s/a/t/ext 2.6-7.5; Intmd rpr s/tr/ext 7.6-12.5; Intmd rpr s/a/t/ext 12.6-20; Intmd rpr n-hf/genit 2.5cm/<; Intmd rpr n-hf/genit2.6-7.5; Intmd rpr face/mm 2.5 cm/<; Intmd rpr face/mm 2.6-5.0 cm; Intmd rpr face/mm 5.1-7.5 cm; Intmd rpr face/mm 7.6-12.5cm; Intmd rpr face/mm 12.6-20 cm; Intmd rpr face/mm 20.1-30.0; Intmd rpr face/mm >30.0 cm; Cmplx rpr f/c/c/m/n/ax/g/h/f; Hair trnspl 1-15 punch grfts; Hair trnspl >15 punch grafts; Dermabrasion suprfl any site; Chemical peel face epiderm; Chemical peel nonfacial; Dress/debrid p-thick burn l; Incision of burn scab initi; Destroy premal lesions 15/>; Destruction of skin lesions; Dstrj mal les t/a/l 3.1-4.0; Dstrj mal les t/a/l >4.0 cm; Dstr mal les s/n/h/f/g 2.1-3; Dstr mal les s/n/h/f/g 3.1-4; Dstr mal les s/n/h/f/g >4.0; Dstr mal ls f/e/e/n/l/m .6-1; Dstr mal ls f/e/e/n/l/m1.1-2; Dstr mal ls f/e/e/n/l/m2.1-3; Njx sclrsnt spider veins; Njx sclrsnt 1 incmptnt vein; Njx sclrsnt mlt incmptnt vn; Destruction anal lesion(s); Destruction penis lesion(s); Photochemotherapy uv-a or b; Excimer lsr psriasis>500sqcm; Neg prs wnd ther dme>50 sqcm; Neg prs wnd thr ndme<=50sqcm; Neg prs wnd ther ndme>50sqcm,$379.92 
5053,0419T; 0420T; 0479T; 11000; 11043; 11106; 11760; 11920; 11921; 11951; 11952; 11954; 12020; 12036; 12044; 12045; 12046; 13100; 13101; 13120; 13121; 13132; 13151; 13152; 15004; 15050; 15789; 15792; 15852; 17107; 17284; 17286; 17311; 17313; 17380; 20910; C5271; C5275; C5277,Dstrj neurofibroma xtnsv; Dstrj neurofibroma xtnsv; Fxjl abl lsr 1st 100 sq cm; Dbrdmt ecz/infected skin<10%; Dbrdmt musc&/fsca 1st 20/<; Incal bx skn single les; Repair of nail bed; Correct skin color 6.0 cm/<; Correct skn color 6.1-20.0cm; Tx contour defects 1.1-5.0cc; Tx contour defects 5.1-10cc; Tx contour defects >10.0 cc; Tx supfc wnd dehsn smpl clsr; Intmd rpr s/a/t/ext 20.1-30; Intmd rpr n-hf/genit7.6-12.5; Intmd rpr n-hf/genit12.6-20; Intmd rpr n-hf/genit20.1-30; Cmplx rpr trunk 1.1-2.5 cm; Cmplx rpr trunk 2.6-7.5 cm; Cmplx rpr s/a/l 1.1-2.5 cm; Cmplx rpr s/a/l 2.6-7.5 cm; Cmplx rpr f/c/c/m/n/ax/g/h/f; Cmplx rpr e/n/e/l 1.1-2.5 cm; Cmplx rpr e/n/e/l 2.6-7.5 cm; Wound prep f/n/hf/g; Pinch graft up to 2 cm diam; Chemical peel face dermal; Chemical peel nonfacial; Dressing change not for burn; Destruction of skin lesions; Dstr mal ls f/e/e/n/l/m3.1-4; Dstr mal ls f/e/e/n/l/m>4.0; Mohs 1 stage h/n/hf/g; Mohs 1 stage t/a/l; Hair removal by electrolysis; Remove cartilage for graft; Low cost skin substitute app; Low cost skin substitute app; Low cost skin substitute app,$598.40 
5054,0416T; 0446T; 0448T; 0862T; 0863T; 11762; 12037; 12047; 13160; 14000; 14001; 14020; 14021; 14040; 14041; 14060; 14061; 14350; 15002; 15040; 15100; 15110; 15115; 15130; 15150; 15200; 15220; 15240; 15260; 15271; 15275; 15277; 15570; 15574; 15576; 15610; 15620; 15630; 15650; 15736; 15740; 15760; 15773; 15819; 15820; 15821; 15822; 15823; 15824; 15842; 15851; 15878; 15936; 15937; 15945; 15946; 15952; 15956; 17108; 20101; 20102; 20920; 20922; 23921; 25929; 33222; 33223; 36465; 36466; 43887; 46910; 54055; 54057; 54060; 54065; 56501; 56515; C5273; G0429; G0460; G0465�,Reloc skin pocket pls gen; Insj impltbl glucose sensor; Remvl insj impltbl gluc sens; Rlcj pg wcs lv battery only; Rlcj pg wcs lv trnsmtr only; Reconstruction of nail bed; Intmd rpr s/tr/ext >30.0 cm; Intmd rpr n-hf/genit >30.0cm; Sec clsr surg wnd/dehsn xtn; Tis trnfr trunk 10 sq cm/<; Tis trnfr trunk 10.1-30sqcm; Tis trnfr s/a/l 10 sq cm/<; Tis trnfr s/a/l 10.1-30 sqcm; Tis trnfr f/c/c/m/n/a/g/h/f; Tis trnfr f/c/c/m/n/a/g/h/f; Tis trnfr e/n/e/l 10 sq cm/<; Tis trnfr e/n/e/l10.1-30sqcm; Filleted finger/toe flap; Wound prep trk/arm/leg; Harvest cultured skin graft; Skin splt grft trnk/arm/leg; Epidrm autogrft trnk/arm/leg; Epidrm a-grft face/nck/hf/g; Derm autograft trnk/arm/leg; Cult skin grft t/arm/leg; Fth grf fr trnk 20 sq cm/<; Fth grf fr s/a/l 20 sq cm/<; Fth gr fr f/c/c/m/n/ax/g/h/f; Fth grf fr n/e/e/l 20 sqcm/<; Skin sub graft trnk/arm/leg; Skin sub graft face/nk/hf/g; Skn sub grft f/n/hf/g child; Skin pedicle flap trunk; Pedcle fh/ch/ch/m/n/ax/g/h/f; Pedicle e/n/e/l/ntroral; Delay flap arms/legs; Delay flap f/c/c/n/ax/g/h/f; Delay flap eye/nos/ear/lip; Transfer skin pedicle flap; Muscle-skin graft arm; Island pedicle flap graft; Composite skin graft; Grfg autol fat lipo 25 cc/<; Plastic surgery neck; Revision of lower eyelid; Revision of lower eyelid; Revision of upper eyelid; Revision of upper eyelid; Removal of forehead wrinkles; Nerve palsy microsurg graft; Removal sutr/staple req anes; Suction lipectomy upr extrem; Remove sacrum pressure sore; Remove sacrum pressure sore; Remove hip pressure sore; Remove hip pressure sore; Remove thigh pressure sore; Remove thigh pressure sore; Destruction of skin lesions; Explore wound chest; Explore wound abdomen; Removal of fascia for graft; Removal of fascia for graft; Disarticulation sho sec clsr; Amputation follow-up surgery; Relocation pocket pacemaker; Relocate pocket for defib; Njx noncmpnd sclrsnt 1 vein; Njx noncmpnd sclrsnt mlt vn; Remove gastric port open; Destruction anal lesion(s); Destruction penis lesion(s); Laser surg penis lesion(s); Excision of penis lesion(s); Destruction penis lesion(s); Destroy vulva lesions sim; Destroy vulva lesion/s compl; Low cost skin substitute app; Dermal filler injection(s); Autolog prp not diab ulcer; Autolog prp diab wound ulcer,"$1,737.53 "
