HCPCS Code,Short Descriptor,APC,Payment Rate
0031U,Cyp1a2 gene,,
320,Anesth neck organ 1yr/>,,
322,Anesth biopsy of thyroid,,
326,Anesth larynx/trach < 1 yr,,
0032A,Fee covid-19 vac 4 dose 2,,
0032U,Comt gene,,
0033A,Fee covid-19 vac 4 booster,,
0033U,Htr2a htr2c genes,,
0034U,Tpmt nudt15 genes,,
350,Anesth neck vessel surgery,,
352,Anesth neck vessel surgery,,
0035U,Neuro csf prion prtn qual,,
0036U,Xome tum & nml spec seq alys,,
0037U,Trgt gen seq dna 324 genes,,
0038U,Vitamin d srm microsamp quan,,
0039U,Dna antb 2strand hi avidity,,
400,Anesth skin ext/per/atrunk,,
402,Anesth surgery of breast,,
404,Anesth surgery of breast,,
406,Anesth surgery of breast,,
0040U,Bcr/abl1 gene major bp quan,,
410,Anesth correct heart rhythm,,
0041U,B brgdrferi antb 5 prtn igm,,
0042T,Ct perfusion w/contrast cbf,,
0042U,B brgdrferi antb 12 prtn igg,,
0043U,Tbrf b grp antb 4 prtn igm,,
0044U,Tbrf b grp antb 4 prtn igg,,
450,Anesth surgery of shoulder,,
454,Anesth collar bone biopsy,,
0045U,Onc brst dux carc is 12 gene,,
0046U,Flt3 gene itd variants quan,,
470,Anesth removal of rib,,
472,Anesth chest wall repair,,
474,Anesth surgery of rib,,
0047U,Onc prst8 mrna 17 gene alg,,
0048U,Onc sld org neo dna 468 gene,,
0049U,Npm1 gene analysis quan,,
500,Anesth esophageal surgery,,
0050U,Trgt gen seq dna 194 genes,,
0051U,Rx mntr lc-ms/ms ur/bld 31,,
520,Anesth chest procedure,,
522,Anesth chest lining biopsy,,
524,Anesth chest drainage,,
528,Anes mediascpy & dx thorscpy,,
529,Anes medscpy&thorscpy 1 lung,,
0052U,Lpoprtn bld w/5 maj classes,,
530,Anesth pacemaker insertion,,
532,Anesth vascular access,,
534,Anesth cardioverter/defib,,
537,Anesth cardiac electrophys,,
539,Anesth trach-bronch reconst,,
540,Anesth chest surgery,,
541,Anesth one lung ventilation,,
542,Anesthesia removal pleura,,
546,Anesth lung chest wall surg,,
548,Anesth trachea bronchi surg,,
0054T,Bone srgry cmptr fluor image,,
0054U,Rx mntr 14+ drugs & sbsts,,
550,Anesth sternal debridement,,
0055T,Bone srgry cmptr ct/mri imag,,
0055U,Card hrt trnspl 96 dna seq,,
560,Anesth heart surg w/o pump,,
561,Anesth heart surg <1 yr,,
562,Anesth hrt surg w/pmp age 1+,,
563,Anesth heart surg w/arrest,,
566,Anesth cabg w/o pump,,
567,Anesth cabg w/pump,,
580,Anesth heart/lung transplnt,,
0058U,Onc merkel cll carc srm quan,,
0059U,Onc merkel cll carc srm +/-,,
600,Anesth spine cord surgery,,
604,Anesth sitting procedure,,
0060U,Twn zyg gen seq alys chrms2,,
0061A,Fee covid-19 vac 7 dose 1,,
0061U,Tc meas 5 bmrk sfdi m-s alys,,
620,Anesth spine cord surgery,,
625,Anes spine tranthor w/o vent,,
626,Anes spine transthor w/vent,,
0062A,Fee covid-19 vac 7 dose 2,,
0062U,Ai sle igg&igm alys 80 bmrk,,
630,Anesth spine cord surgery,,
632,Anesth removal of nerves,,
635,Anesth lumbar puncture,,
0063A,Fee covid-19 vac 7 booster,,
0063U,Neuro autism 32 amines alg,,
640,Anesth spine manipulation,,
0064U,Antb tp total&rpr ia qual,,
0065U,Syfls tst nontreponemal antb,,
670,Anesth spine cord surgery,,
0067U,Onc brst imhchem prfl 4 bmrk,,
0068U,Candida species pnl amp prb,,
0069U,Onc clrct microrna mir-31-3p,,
700,Anesth abdominal wall surg,,
702,Anesth for liver biopsy,,
0070U,Cyp2d6 gen com&slct rar vrnt,,
0071T,Us leiomyomata ablate <200,5414,"$2,978.77 "
0071U,Cyp2d6 full gene sequence,,
0072T,Fcsd us abltj leiomyom>=200,5414,"$2,978.77 "
0072U,Cyp2d6 gen cyp2d6-2d7 hybrid,,
730,Anesth abdominal wall surg,,
731,Anes upr gi ndsc px nos,,
732,Anes upr gi ndsc px ercp,,
0073U,Cyp2d6 gen cyp2d7-2d6 hybrid,,
0074U,Cyp2d6 nonduplicated gene,,
750,Anes hrna rpr upr abd nos,,
752,Anes hrna rpr lmbr&vnt&/dehs,,
754,Anes hrna rpr omphalocele,,
756,Anes hrna rpr diphrg hrna,,
0075T,Perq stent/chest vert art,,
0075U,Cyp2d6 5' gene dup/mlt,,
0076T,S&i stent/chest vert art,,
0076U,Cyp2d6 3' gene dup/mlt,,
770,Anes px maj abd blood vessel,,
0077U,Ig paraprotein qual bld/ur,,
0078U,Pain mgt opi use gnotyp pnl,,
790,Anes iper upr abd nos,,
792,Anes iper upr abd prtl hptc,,
794,Anes iper upr abd pncrtect,,
796,Anes iper upr abd lvr trnspl,,
797,Anes iper upr abd gstr px mo,,
0079U,Cmprtv dna alys mlt snps,,
800,Anesth abdominal wall surg,,
802,Anesth fat layer removal,,
0080U,Onc lng 5 clin rsk factr alg,,
811,Anes lwr intst ndsc nos,,
812,Anes lwr intst scr colsc,,
813,Anes upr lwr gi ndsc px,,
820,Anesth abdominal wall surg,,
0082U,Rx test def 90+ rx/sbsts ur,,
830,Anesth repair of hernia,,
832,Anesth repair of hernia,,
834,Anesth hernia repair < 1 yr,,
836,Anesth hernia repair preemie,,
0083U,Onc rspse chemo cntrst tomog,,
840,Anesth surg lower abdomen,,
842,Anesth amniocentesis,,
844,Anesth pelvis surgery,,
846,Anesth hysterectomy,,
848,Anesth pelvic organ surg,,
0084A,Fee covid-19 vac 9 res,,
0084U,Rbc dna gnotyp 10 bld groups,,
851,Anesth tubal ligation,,
860,Anesth surgery of abdomen,,
862,Anesth kidney/ureter surg,,
864,Anesth removal of bladder,,
865,Anesth removal of prostate,,
866,Anesth removal of adrenal,,
868,Anesth kidney transplant,,
0086U,Nfct ds bact&fng org id 6+,,
870,Anesth bladder stone surg,,
872,Anesth kidney stone destruct,,
873,Anesth kidney stone destruct,,
0087U,Crd hrt trnspl mrna 1283 gen,,
880,Anesth abdomen vessel surg,,
882,Anesth major vein ligation,,
0088U,Trnsplj kdn algrft rej 1494,,
0089U,Onc mlnma prame & linc00518,,
902,Anesth anorectal surgery,,
904,Anesth perineal surgery,,
906,Anesth removal of vulva,,
908,Anesth removal of prostate,,
0090U,Onc cutan mlnma mrna 23 gene,,
910,Anesth bladder surgery,,
912,Anesth bladder tumor surg,,
914,Anesth removal of prostate,,
916,Anesth bleeding control,,
918,Anesth stone removal,,
0091U,Onc clrct scr whl bld alg,,
920,Anesth genitalia surgery,,
921,Anesth vasectomy,,
922,Anesth sperm duct surgery,,
924,Anesth testis exploration,,
926,Anesth removal of testis,,
928,Anesth removal of testis,,
0092U,Onc lng 3 prtn bmrk plsm alg,,
930,Anesth testis suspension,,
932,Anesth amputation of penis,,
934,Anesth penis nodes removal,,
936,Anesth penis nodes removal,,
938,Anesth insert penis device,,
0093U,Rx mntr 65 com drugs urine,,
940,Anesth vaginal procedures,,
942,Anesth surg on vag/urethral,,
944,Anesth vaginal hysterectomy,,
948,Anesth repair of cervix,,
0094U,Genome rapid sequence alys,,
950,Anesth vaginal endoscopy,,
952,Anesth hysteroscope/graph,,
0095T,Rmvl artific disc addl crvcl,,
0095U,Inflm ee elisa alys alg,,
0096U,Hpv hi risk types male urine,,
0098T,Rev artific disc addl,,
0100T,Prosth retina receive&gen,,
0101A,Fee covid-19 vac 11 dose 1,,
0101T,Esw muscskel sys nos,5111,$224.69 
0101U,Hered colon ca do 15 genes,,
0102A,Fee covid-19 vac 11 dose 2,,
0102T,Esw phy anes lat hmrl epcndl,5113,"$3,084.03 "
0102U,Hered brst ca rltd do 17 gen,,
0103A,Fee covid-19 vac 11 booster,,
0103U,Hered ova ca pnl 24 genes,,
0105U,Neph ckd mult eclia tum nec,,
0106T,Touch quant sensory test,5732,$38.21 
0106U,Gstr emptg 7 timed brth spec,,
0107T,Vibrate quant sensory test,5732,$38.21 
0107U,C diff tox ag detcj ia stool,,
0108T,Cool quant sensory test,5733,$58.28 
0108U,Gi barrett esoph 9 prtn bmrk,,
0109T,Heat quant sensory test,5732,$38.21 
0109U,Id aspergillus dna 4 species,,
0110T,Nos quant sensory test,5734,$121.71 
0110U,Rx mntr 1+oral onc rx&sbsts,,
1112,Anesth bone aspirate/bx,,
0111U,Onc colon ca kras&nras alys,,
1120,Anesth pelvis surgery,,
0112U,Iadi 16s&18s rrna genes,,
1130,Anesth body cast procedure,,
0113U,Onc prst8 pca3&tmprss2-erg,,
1140,Anesth amputation at pelvis,,
0114U,Gi barretts esoph vim&ccna1,,
1150,Anesth pelvic tumor surgery,,
0115U,Respir iadna 18 viral&2 bact,,
1160,Anesth pelvis procedure,,
0116U,Rx mntr nzm ia 35+oral flu,,
1170,Anesth pelvis surgery,,
1173,Anesth fx repair pelvis,,
0117U,Pain mgmt 11 endogenous anal,,
0118U,Trnsplj don-drv cll-fr dna,,
0119U,Crd ceramides liq chrom plsm,,
1200,Anesth hip joint procedure,,
1202,Anesth arthroscopy of hip,,
0120U,Onc b cll lymphm mrna 58 gen,,
1210,Anesth hip joint surgery,,
1212,Anesth hip disarticulation,,
1214,Anesth hip arthroplasty,,
1215,Anesth revise hip repair,,
0121U,Sc dis vcam-1 whole blood,,
1220,Anesth procedure on femur,,
0122U,Sc dis p-selectin whl blood,,
1230,Anesth surgery of femur,,
1232,Anesth amputation of femur,,
1234,Anesth radical femur surg,,
0123U,Mchnl fragility rbc prflg,,
1250,Anesth upper leg surgery,,
1260,Anesth upper leg veins surg,,
1270,Anesth thigh arteries surg,,
1272,Anesth femoral artery surg,,
1274,Anesth femoral embolectomy,,
0129U,Hered brst ca rltd do panel,,
0130U,Hered colon ca do mrna pnl,,
0131U,Hered brst ca rltd do pnl 13,,
1320,Anesth knee area surgery,,
0132U,Hered ova ca rltd do pnl 17,,
0133U,Hered prst8 ca rltd do 11,,
1340,Anesth knee area procedure,,
0134U,Hered pan ca mrna pnl 18 gen,,
0135U,Hered gyn ca mrna pnl 12 gen,,
1360,Anesth knee area surgery,,
0136U,Atm mrna seq alys,,
0137U,Palb2 mrna seq alys,,
1380,Anesth knee joint procedure,,
1382,Anesth dx knee arthroscopy,,
0138U,Brca1 brca2 mrna seq alys,,
1390,Anesth knee area procedure,,
1392,Anesth knee area surgery,,
1400,Anesth knee joint surgery,,
1402,Anesth knee arthroplasty,,
1404,Anesth amputation at knee,,
0140U,Nfct ds fungi dna 15 trgt,,
0141U,Nfct ds bact&fng gram pos,,
1420,Anesth knee joint casting,,
0142U,Nfct ds bact&fng gram neg,,
1430,Anesth knee veins surgery,,
1432,Anesth knee vessel surg,,
1440,Anesth knee arteries surg,,
1442,Anesth knee artery surg,,
1444,Anesth knee artery repair,,
1462,Anesth lower leg procedure,,
1464,Anesth ankle/ft arthroscopy,,
1470,Anesth lower leg surgery,,
1472,Anesth achilles tendon surg,,
1474,Anesth lower leg surgery,,
1480,Anesth lower leg bone surg,,
1482,Anesth radical leg surgery,,
1484,Anesth lower leg revision,,
1486,Anesth ankle replacement,,
1490,Anesth lower leg casting,,
1500,Anesth leg arteries surg,,
1502,Anesth lwr leg embolectomy,,
1520,Anesth lower leg vein surg,,
1522,Anesth lower leg vein surg,,
0152U,Nfct ds dna untrgt ngnrj seq,,
0153U,Onc breast mrna 101 genes,,
0154U,Onc urthl ca rna fgfr3 gene,,
0155U,Onc brst ca dna pik3ca gene,,
0156U,Copy number sequence alys,,
0157U,Apc mrna seq alys,,
0158U,Mlh1 mrna seq alys,,
0159U,Msh2 mrna seq alys,,
0160U,Msh6 mrna seq alys,,
1610,Anesth surgery of shoulder,,
0161U,Pms2 mrna seq alys,,
1620,Anesth shoulder procedure,,
1622,Anes dx shoulder arthroscopy,,
0162U,Hered colon ca trgt mrna pnl,,
1630,Anesth surgery of shoulder,,
1634,Anesth shoulder joint amput,,
1636,Anesth forequarter amput,,
1638,Anesth shoulder replacement,,
0163U,Onc clrct scr 3 prtn alg,,
0164T,Remove lumb artif disc addl,,
0164U,Gi ibs ia anti-cdtb&vinculin,,
1650,Anesth shoulder artery surg,,
1652,Anesth shoulder vessel surg,,
1654,Anesth shoulder vessel surg,,
1656,Anesth arm-leg vessel surg,,
0165T,Revise lumb artif disc addl,,
0165U,Peanut allg asmt epi,,
0166U,Liver ds 10 biochem asy srm,,
1670,Anesth shoulder vein surg,,
0167U,Chornc gonadotropin hcg ia,,
1680,Anesth shoulder casting,,
0169U,Nudt15&tpmt gene com vrnt,,
0170U,Neuro asd rna next gen seq,,
1710,Anesth elbow area surgery,,
1712,Anesth uppr arm tendon surg,,
1714,Anesth uppr arm tendon surg,,
1716,Anesth biceps tendon repair,,
0171U,Trgt gen seq alys pnl dna 23,,
0172U,Onc sld tum alys brca1 brca2,,
1730,Anesth uppr arm procedure,,
1732,Anesth dx elbow arthroscopy,,
0173U,Psyc gen alys panel 14 genes,,
1740,Anesth upper arm surgery,,
1742,Anesth humerus surgery,,
1744,Anesth humerus repair,,
0174T,Cad cxr with interp,,
0174U,Onc solid tumor 30 prtn trgt,,
1756,Anesth radical humerus surg,,
1758,Anesth humeral lesion surg,,
0175T,Cad cxr remote,,
0175U,Psyc gen alys panel 15 genes,,
1760,Anesth elbow replacement,,
0176U,Cdtb&vinculin igg antb ia,,
1770,Anesth uppr arm artery surg,,
1772,Anesth uppr arm embolectomy,,
0177U,Onc brst ca dna pik3ca 11,,
1780,Anesth upper arm vein surg,,
1782,Anesth uppr arm vein repair,,
0178U,Peanut allg asmt epi clin rx,,
0179U,Onc nonsm cll lng ca alys 23,,
0180U,Abo gnotyp abo 7 exons,,
1810,Anesth lower arm surgery,,
0181U,Co gnotyp aqp1 exon 1,,
1820,Anesth lower arm procedure,,
1829,Anesth dx wrist arthroscopy,,
0182U,Crom gnotyp cd55 exons 1-10,,
1830,Anesth lower arm surgery,,
1832,Anesth wrist replacement,,
0183U,Di gnotyp slc4a1 exon 19,,
1840,Anesth lwr arm artery surg,,
1842,Anesth lwr arm embolectomy,,
1844,Anesth vascular shunt surg,,
0184T,Exc rectal tumor endoscopic,5331,"$5,430.19 "
0184U,Do gnotyp art4 exon 2,,
1850,Anesth lower arm vein surg,,
1852,Anesth lwr arm vein repair,,
0185U,Fut1 gnotyp fut1 exon 4,,
1860,Anesth lower arm casting,,
0186U,Fut2 gnotyp fut2 exon 2,,
0187U,Fy gnotyp ackr1 exons 1-2,,
0188U,Ge gnotyp gypc exons 1-4,,
0189U,Gypa gnotyp ntrns 1 5 exon 2,,
0190U,Gypb gnotyp ntrns 1 5 seux 3,,
1916,Anesth dx arteriography,,
0191U,In gnotyp cd44 exons 2 3 6,,
1920,Anesth catheterize heart,,
1922,Anesth cat or mri scan,,
1924,Anes ther interven rad artrl,,
1925,Anes ther interven rad card,,
1926,Anes tx interv rad hrt/cran,,
0192U,Jk gnotyp slc14a1 exon 9,,
1930,Anes ther interven rad vein,,
1931,Anes ther interven rad tips,,
1932,Anes tx interv rad th vein,,
1933,Anes tx interv rad cran vein,,
1937,Anes drg/aspir crv/thrc,,
1938,Anes drg/aspir lmbr/sac,,
1939,Anes nulyt agt crv/thrc,,
0193U,Jr gnotyp abcg2 exons 2-26,,
1940,Anes nulyt agt lmbr/sac,,
1941,Anes neuromd/ntrvrt crv/thrc,,
1942,Anes neuromd/ntrvrt lmbr/sac,,
0194U,Kel gnotyp kel exon 8,,
1951,Anesth burn less 4 percent,,
1952,Anesth burn 4-9 percent,,
1953,Anesth burn each 9 percent,,
1958,Anes xtrnl cephalic version,,
0195U,Klf1 targeted sequencing,,
1960,Anes vaginal delivery only,,
1961,Anes cesarean delivery only,,
1962,Anes urgent hysterectomy,,
1963,Anes cesarean hysterectomy,,
1965,Anes incompl/missed ab px,,
1966,Anes induced abortion px,,
1967,Neuraxl lbr anes vag dlvr,,
1968,Anes/analg cs dlvr neuraxial,,
1969,Anes c hyst flwg neuraxial,,
0196U,Lu gnotyp bcam exon 3,,
0197U,Lw gnotyp icam4 exon 1,,
0198T,Ocular blood flow measure,5734,$121.71 
0198U,Rhd&rhce gntyp rhd1-10&rhce5,,
1990,Support for organ donor,,
1991,Anesth nerve block/inj,,
1992,Anesth n block/inj prone,,
1996,Hosp manage cont drug admin,,
1999,Unlisted anes procedure,,
0199U,Sc gnotyp ermap exons 4 12,,
0200T,Perq sacral augmt unilat inj,5114,"$6,816.33 "
0200U,Xk gnotyp xk exons 1-3,,
0201T,Perq sacral augmt bilat inj,5114,"$6,816.33 "
0201U,Yt gnotyp ache exon 2,,
0202T,Post vert arthrplst 1 lumbar,,
0202U,Nfct ds 22 trgt sars-cov-2,,
0203U,Ai ibd mrna xprsn prfl 17,,
0204U,Onc thyr mrna xprsn alys 593,,
0205U,Oph amd alys 3 gene variants,,
0206U,Neuro alzheimer cell aggregj,,
0207T,Clear eyelid gland w/heat,5734,$121.71 
0207U,Neuro alzheimer quan imaging,,
0208T,Audiometry air only,5732,$38.21 
0209T,Audiometry air & bone,5732,$38.21 
0209U,Cytog const alys interrog,,
0210T,Speech audiometry threshold,5732,$38.21 
0210U,Syphilis tst antb ia quan,,
0211T,Speech audiom thresh & recog,5732,$38.21 
0211U,Onc pan-tum dna&rna gnrj seq,,
0212T,Compre audiometry evaluation,5721,$148.83 
0212U,Rare ds gen dna alys proband,,
0213T,Njx paravert w/us cer/thor,5443,$868.45 
0213U,Rare ds gen dna alys ea comp,,
0214T,Njx paravert w/us cer/thor,,
0214U,Rare ds xom dna alys proband,,
0215T,Njx paravert w/us cer/thor,,
0215U,Rare ds xom dna alys ea comp,,
0216T,Njx paravert w/us lumb/sac,5443,$868.45 
0216U,Neuro inh ataxia dna 12 com,,
0217T,Njx paravert w/us lumb/sac,,
0217U,Neuro inh ataxia dna 51 gene,,
0218T,Njx paravert w/us lumb/sac,,
0218U,Neuro musc dys dmd seq alys,,
0219T,Plmt post facet implt cerv,,
0219U,Nfct agt hiv gnrj seq alys,,
0220T,Plmt post facet implt thor,,
0220U,Onc brst ca ai assmt 12 feat,,
0221T,Plmt post facet implt lumb,5114,"$6,816.33 "
0221U,Abo gnotyp next gnrj seq abo,,
0222T,Plmt post facet implt addl,,
0222U,Rhd&rhce gntyp next gnrj seq,,
0223U,Nfct ds 22 trgt sars-cov-2,,
0224U,Antibody sars-cov-2 titer(s),,
0225U,Nfct ds dna&rna 21 sarscov2,,
0226U,Svnt sarscov2 elisa plsm srm,,
0227U,Rx asy prsmv 30+rx/metablt,,
0228U,Onc prst8 ma molec prfl alg,,
0229U,Bcat1&ikzf1 prmtr mthyln aly,,
0230U,Ar full sequence analysis,,
0231U,Cacna1a full gene analysis,,
0232T,Njx platelet plasma,5735,$379.63 
0232U,Cstb full gene analysis,,
0233U,Fxn gene analysis,,
0234T,Trluml perip athrc renal art,5193,"$10,481.81 "
0234U,Mecp2 full gene analysis,,
0235T,Trluml perip athrc visceral,,
0235U,Pten full gene analysis,,
0236T,Trluml perip athrc abd aorta,5193,"$10,481.81 "
0236U,Smn1&smn2 full gene analysis,,
0237T,Trluml perip athrc brchiocph,5193,"$10,481.81 "
0237U,Car ion chnlpthy gen seq pnl,,
0238T,Trluml perip athrc iliac art,5194,"$16,707.31 "
0238U,Onc lnch syn gen dna seq aly,,
0239U,Trgt gen seq alys pnl 311+,,
0240U,Nfct ds vir resp rna 3 trgt ,,
0241U,Nfct ds vir resp rna 4 trgt ,,
0242U,Trgt gen seq alys pnl 55-74,,
0243U,Ob pe biochem assay pgf alg,,
0244U,Onc solid orgn dna 257 genes,,
0245U,Onc thyr mut alys 10 gen&37,,
0246U,Rbc dna gnotyp 16 bld groups,,
0247U,Ob prtrm brth ibp4 shbg meas,,
0248U,Onc brn sphrd cll 12 rx pnl,,
0249U,Onc brst alys 32 phsprtn alg,,
0250U,Onc sld org neo dna 505 gene,,
0251U,Hepcidin-25 elisa serum/plsm,,
0252U,Ftl aneuploidy str alys dna,,
0253T,Insert aqueous drain device,5492,"$3,873.90 "
0253U,Rprdtve med rna gen prfl 238,,
0254U,Reprdtve med alys 24 chrmsm,,
0255U,Andrology infertility assmt,,
0256U,Tma/tmao prfl ms/ms ur alg,,
0257U,Vlcad leuk nzm actv whl bld,,
0258U,Ai psor mrna 50-100 gen alg,,
0259U,Neph ckd nuc mrs meas gfr,,
0260U,Rare ds id opt genome mapg,,
0261U,Onc clrct ca img alys w/ai,,
0262U,Onc sld tum rt-pcr 7 gen,,
0263T,Im b1 mrw cel ther cmpl,5243,"$4,409.34 "
0263U,Neuro asd meas 16 c metblt,,
0264T,Im b1 mrw cel ther xcl hrvst,5243,"$4,409.34 "
0264U,Rare ds id opt genome mapg,,
0265T,Im b1 mrw cel ther hrvst onl,5243,"$4,409.34 "
0265U,Rar do whl gn&mtcdrl dna als,,
0266T,Implt/rpl crtd sns dev total,1580,"$45,000.50 "
0266U,Unxpl cnst hrtbl do gn xprsn,,
0267T,Implt/rpl crtd sns dev lead,5461,"$3,241.90 "
0267U,Rare do id opt gen mapg&seq,,
0268T,Implt/rpl crtd sns dev gen,5465,"$29,586.29 "
0268U,Hem ahus gen seq alys 15 gen,,
0269T,Rev/remvl crtd sns dev total,5432,"$6,346.97 "
0269U,Hem aut dm cgen trmbctpna 22,,
0270T,Rev/remvl crtd sns dev lead,5461,"$3,241.90 "
0270U,Hem cgen coagj do 20 genes,,
0271T,Rev/remvl crtd sns dev gen,5461,"$3,241.90 "
0271U,Hem cgen neutropenia 24 gen,,
0272T,Interrogate crtd sns dev,5721,$148.83 
0272U,Hem genetic bld do 60 genes,,
0273T,Interrogate crtd sns w/pgrmg,5721,$148.83 
0273U,Hem gen hyprfibrnlysis 8 gen,,
0274T,Perq lamot/lam crv/thrc,5114,"$6,816.33 "
0274U,Hem gen pltlt do 62 genes,,
0275T,Perq lamot/lam lumbar,5114,"$6,816.33 "
0275U,Hem heprn nduc trmbctpna srm,,
0276U,Hem inh thrombocytopenia 42,,
0277U,Hem gen pltlt funcj do 40,,
0278T,Tempr,5721,$148.83 
0278U,Hem gen thrombosis 14 genes,,
0279U,Hem vw factor&clgn iii bndg,,
0280U,Hem vw factor&clgn iv bndg,,
0281U,Hem vwd propeptide ag lvl,,
0282U,Rbc dna gntyp 12 bld grp gen,,
0283U,Vw factor type 2b eval plsm,,
0284U,Vw factor type 2n eval plsm,,
0285U,Onc rsps radj cll fr dna tox,,
0286U,Cep72 nudt15&tpmt gene alys,,
0287U,Onc thyr dna&mrna 112 genes,,
0288U,Onc lung mrna quan pcr 11&3,,
0289U,Neuro alzheimer mrna 24 gen,,
0290U,Pain mgmt mrna gen xprsn 36,,
0291U,Psyc mood do mrna 144 genes,,
0292U,Psyc strs do mrna 72 genes,,
0293U,Psyc suicidal idea mrna 54,,
0294U,Lngvty&mrtlty rsk mrna 18gen,,
0295U,Onc brst dux carc 7 proteins,,
0296U,Onc orl&/orop ca 20 mlc feat,,
0297U,Onc pan tum whl gen seq dna,,
0298U,Onc pan tum whl trns seq rna,,
0299U,Onc pan tum whl gen opt mapg,,
0300U,Onc pan tum whl gen seq&opt,,
0301U,Iadna bartonella ddpcr,,
0302U,Iadna brtnla ddpcr flwg liq,,
0303U,Hem rbc ads whl bld hypoxic,,
0304U,Hem rbc ads whl bld normoxic,,
0305U,Hem rbc fnclty&dfrm shr strs,,
0306U,Onc mrd nxt-gnrj alys 1st,,
0307U,Onc mrd nxt-gnrj alys sbsq,,
0308T,Insj ocular telescope prosth,5496,"$16,530.39 "
0308U,Crd cad alys 3 prtn 3 param,,
0309U,Crd cv ds aly 4 prtn plm alg,,
0310U,Ped vsclts kd alys 3 bmrks,,
0311U,Nfct ds bct quan antmcrb sc,,
0312U,Ai ds sle alys 8 igg autoant,,
0313U,Onc pncrs dna&mrna seq 74,,
0314U,Onc cutan mlnma mrna 35 gene,,
0315U,Onc cutan sq cll ca mrna 40,,
0316U,B brgdrferi lyme ds ospa evl,,
0317U,Onc lung ca 4-prb fish assay,,
0318U,Ped whl gen mthyltn alys 50+,,
0319U,Neph rna pretrnspl perph bld,,
0320U,Neph rna psttrnspl perph bld,,
0321U,Iadna gu pthgn 20bct&fng org,,
0322U,Neuro asd meas 14 acyl carn,,
0323U,Iadna cns pthgn next gen seq,,
0326U,Trgt gen seq alys pnl 83+,,
0327U,Ftl aneuploidy trsmy dna seq,,
0328U,Drug assay 120+ rx&metablt,,
0329T,Mntr io press 24hrs/> uni/bi,,
0329U,Onc neo xome&trns seq alys,,
0330T,Tear film img uni/bi w/i&r,5732,$38.21 
0330U,Iadna vag pthgn panel 27 org,,
0331T,Heart symp image plnr,5593,"$1,352.93 "
0331U,Onc hl neo opt gen mapping,,
0332T,Heart symp image plnr spect,5593,"$1,352.93 "
0332U,Onc pan tum gen prflg 8 dna,,
0333T,Visual ep scr acuity auto,,
